step 4800: train loss 0.8326, val loss 0.8272
saving checkpoint to out/addition_ft
iter 5205: loss 0.8525, time 40.72ms, mfu 0.09%
iter 5206: loss 0.8662, time 39.99ms, mfu 0.09%
iter 5207: loss 0.8657, time 45.14ms, mfu 0.09%
iter 5208: loss 0.8648, time 40.61ms, mfu 0.08%
iter 5209: loss 0.8621, time 37.88ms, mfu 0.08%
iter 5210: loss 0.8602, time 43.93ms, mfu 0.08%
iter 5211: loss 0.8474, time 36.42ms, mfu 0.08%
iter 5212: loss 0.8567, time 37.58ms, mfu 0.08%
iter 5213: loss 0.8438, time 35.41ms, mfu 0.09%
iter 5214: loss 0.8361, time 37.16ms, mfu 0.09%
iter 5215: loss 0.8429, time 43.01ms, mfu 0.08%
iter 5216: loss 0.8258, time 34.63ms, mfu 0.09%
iter 5217: loss 0.8509, time 32.36ms, mfu 0.09%
iter 5218: loss 0.8548, time 28.02ms, mfu 0.09%
iter 5219: loss 0.8385, time 28.13ms, mfu 0.09%
iter 5220: loss 0.8414, time 29.27ms, mfu 0.09%
iter 5221: loss 0.8292, time 35.75ms, mfu 0.09%
iter 5222: loss 0.8499, time 31.33ms, mfu 0.09%
iter 5223: loss 0.8476, time 30.65ms, mfu 0.10%
iter 5224: loss 0.8554, time 28.50ms, mfu 0.10%
iter 5225: loss 0.8496, time 27.85ms, mfu 0.10%
iter 5226: loss 0.8649, time 27.77ms, mfu 0.10%
iter 5227: loss 0.8636, time 32.32ms, mfu 0.10%
iter 5228: loss 0.8520, time 30.47ms, mfu 0.10%
iter 5229: loss 0.8502, time 36.31ms, mfu 0.10%
iter 5230: loss 0.8505, time 33.96ms, mfu 0.10%
iter 5231: loss 0.8628, time 33.33ms, mfu 0.10%
iter 5232: loss 0.8637, time 32.66ms, mfu 0.10%
iter 5233: loss 0.8739, time 35.48ms, mfu 0.10%
iter 5234: loss 0.8574, time 44.45ms, mfu 0.10%
iter 5235: loss 0.8566, time 40.05ms, mfu 0.09%
iter 5236: loss 0.8536, time 36.82ms, mfu 0.09%
iter 5237: loss 0.8351, time 41.96ms, mfu 0.09%
iter 5238: loss 0.8440, time 50.15ms, mfu 0.09%
iter 5239: loss 0.8424, time 46.19ms, mfu 0.09%
iter 5240: loss 0.8563, time 38.63ms, mfu 0.09%
